Time,Susceptible,Incubating,Contagious,Recovered,Total population,Field 6,Expected poulation growth (days-1),Field 8,Field 9
20.74,2705994.30510238,3.22185889,0.44979174,1.01162307,2705998.98837608,,,,
21.35,2705994.03072991,3.35886462,0.46891864,1.07074294,2705998.92925611,,,,
21.96,2705993.74469007,3.50169636,0.48885888,1.13237681,2705998.86762212,,,,
22.57,2705993.44648674,3.65060183,0.50964704,1.19663160,2705998.80336721,,,,
23.18,2705993.13560268,3.80583931,0.53131919,1.26361875,2705998.73637993,,,,
23.79,2705992.81149866,3.96767805,0.55391292,1.33345444,2705998.66654408,,,,
24.40,2705992.47361253,4.13639876,0.57746741,1.40625982,2705998.59373853,,,,
25.01,2705992.12135823,4.31229408,0.60202353,1.48216117,2705998.51783701,,,,
25.62,2705991.75412477,4.49566910,0.62762386,1.56129012,2705998.43870785,,,,
26.23,2705991.37127519,4.68684187,0.65431281,1.64378394,2705998.35621381,,,,
26.84,2705990.97214544,4.88614398,0.68213666,1.72978572,2705998.27021180,,,,
27.45,2705990.55604323,5.09392111,0.71114369,1.81944461,2705998.18055264,,,,
28.06,2705990.12224684,5.31053365,0.74138420,1.91291614,2705998.08708082,,,,
28.67,2705989.67000384,5.53635730,0.77291064,2.01036242,2705997.98963421,,,,
29.28,2705989.19852984,5.77178376,0.80577770,2.11195249,2705997.88804379,,,,
29.89,2705988.70700707,6.01722135,0.84004237,2.21786255,2705997.78213335,,,,
30.50,2705988.19458299,6.27309577,0.87576411,2.32827631,2705997.67171917,,,,
31.11,2705987.66036881,6.53985084,0.91300485,2.44338526,2705997.55660976,,,,
31.72,2705987.10343795,6.81794922,0.95182919,2.56338908,2705997.43660544,,,,
32.33,2705986.52282442,7.10787326,0.99230448,2.68849590,2705997.31149806,,,,
32.94,2705985.91752117,7.41012583,1.03450091,2.81892273,2705997.18107064,,,,
33.55,2705985.28647831,7.72523115,1.07849168,2.95489578,2705997.04509692,,,,
34.16,2705984.62860132,8.05373576,1.12435308,3.09665091,2705996.90334108,,,,
34.77,2705983.94274914,8.39620944,1.17216466,3.24443398,2705996.75555722,,,,
35.38,2705983.22773218,8.75324617,1.22200934,3.39850133,2705996.60148902,,,,
35.99,2705982.48231027,9.12546522,1.27397358,3.55912017,2705996.44086924,,,,
36.60,2705981.70519051,9.51351216,1.32814750,3.72656911,2705996.27341928,,,,
37.21,2705980.89502502,9.91806003,1.38462507,3.90113858,2705996.09884870,,,,
37.82,2705980.05040861,10.33981049,1.44350424,4.08313136,2705995.91685470,,,,
38.43,2705979.16987633,10.77949502,1.50488713,4.27286312,2705995.72712161,,,,
39.04,2705978.25190095,11.23787622,1.56888021,4.47066295,2705995.52932033,,,,
39.65,2705977.29489030,11.71574909,1.63559448,4.67687392,2705995.32310778,,,,
40.26,2705976.29718450,12.21394246,1.70514562,4.89185369,2705995.10812628,,,,
40.87,2705975.25705310,12.73332039,1.77765429,5.11597516,2705994.88400293,,,,
41.48,2705974.17269207,13.27478367,1.85324623,5.34962704,2705994.65034900,,,,
42.09,2705973.04222066,13.83927140,1.93205255,5.59321460,2705994.40675921,,,,
42.70,2705971.86367816,14.42776262,2.01420994,5.84716032,2705994.15281105,,,,
43.31,2705970.63502049,15.04127797,2.09986089,6.11190468,2705993.88806404,,,,
43.92,2705969.35411666,15.68088152,2.18915393,6.38790685,2705993.61205897,,,,
44.53,2705968.01874506,16.34768254,2.28224396,6.67564555,2705993.32431712,,,,
